title,subtitle,isbn13,price,image,url
"Expert Oracle Database Architecture, 2nd Edition","Oracle Database Programming 9i, 10g, and 11g Techniques and Solutions",9781430229469,34.85,https://itbook.store/img/books/9781430229469.png,https://itbook.store/books/9781430229469
Expert Indexing in Oracle Database 11g,Maximum Performance for Your Database,9781430237358,49.99,https://itbook.store/img/books/9781430237358.png,https://itbook.store/books/9781430237358
Databases for Small Business,"Essentials of Database Management, Data Analysis, and Staff Training for Entrepreneurs and Professionals",9781484202784,49.85,https://itbook.store/img/books/9781484202784.png,https://itbook.store/books/9781484202784
"Next Generation Databases: NoSQL, NewSQL, and Big Data",What every professional needs to know about the future of databases in a world of NoSQL and Big Data,9781484213308,30.80,https://itbook.store/img/books/9781484213308.png,https://itbook.store/books/9781484213308
"Practical PHP 7, MySQL 8, and MariaDB Website Databases",A Simplified Approach to Developing Database-Driven Websites,9781484238424,36.97,https://itbook.store/img/books/9781484238424.png,https://itbook.store/books/9781484238424
Database Reliability Engineering,Designing and Operating Resilient Database Systems,9781491925942,40.71,https://itbook.store/img/books/9781491925942.png,https://itbook.store/books/9781491925942
"Seven Databases in Seven Weeks, 2nd Edition",A Guide to Modern Databases and the NoSQL Movement,9781680502534,28.50,https://itbook.store/img/books/9781680502534.png,https://itbook.store/books/9781680502534
Professional Azure SQL Database Administration,Equip Yourself with the Skills You Need to Manage and Maintain Your SQL Databases on the Microsoft Cloud,9781789538854,49.99,https://itbook.store/img/books/9781789538854.png,https://itbook.store/books/9781789538854
EJB 3.0 Database Persistence with Oracle Fusion Middleware 11g,A complete guide to EJB 3.0 database persistence with Oracle Fusion Middleware 11g,9781849681568,5.79,https://itbook.store/img/books/9781849681568.png,https://itbook.store/books/9781849681568
Oracle Database 11gR2 Performance Tuning Cookbook,Over 80 recipes to help beginners achieve better performance from Oracle Database applications,9781849682602,32.99,https://itbook.store/img/books/9781849682602.png,https://itbook.store/books/9781849682602
Oracle Database and PowerShell How-to,Utilize the power of Microsoft's powerful scripting engine to automate database tasks with Oracle from PowerShell,9781849688581,19.99,https://itbook.store/img/books/9781849688581.png,https://itbook.store/books/9781849688581
